# Enhanced Poisson Multi-Bernoulli Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
#
# frame, track_id, x, y, existence_prob, confidence, speed, age, detections
#================================================================================
60, 38, 123, 127, 0.9997, 0.7623, 1.9989, 5, 6
61, 14, 82, 34, 0.9997, 1.0000, 2.1751, 50, 50
61, 27, 109, 120, 0.9997, 1.0000, 1.2344, 23, 24
61, 31, 29, 5, 0.9997, 1.0000, 1.2486, 21, 22
61, 37, 4, 7, 0.9997, 0.8779, 0.8060, 8, 9
61, 38, 125, 127, 0.9997, 0.7998, 1.9993, 6, 7
62, 14, 83, 34, 0.9997, 1.0000, 1.2747, 51, 51
62, 15, 87, 31, 0.9997, 1.0000, 0.7639, 46, 45
62, 31, 30, 5, 0.9997, 1.0000, 1.0417, 22, 23
62, 37, 4, 6, 0.9996, 0.9178, 0.4715, 9, 10
62, 38, 127, 127, 0.9997, 0.8385, 1.9999, 7, 8
62, 40, 100, 0, 0.9997, 0.7623, 1.2768, 5, 6
63, 14, 85, 34, 0.9997, 1.0000, 1.7075, 52, 52
63, 15, 87, 30, 0.9996, 1.0000, 0.4721, 47, 46
63, 27, 110, 121, 0.9997, 1.0000, 1.0298, 25, 26
63, 31, 31, 5, 0.9997, 1.0000, 1.0000, 23, 24
63, 37, 7, 7, 0.9995, 0.9579, 2.2990, 10, 11
63, 40, 102, 0, 0.9997, 0.7998, 1.7228, 6, 7
63, 42, 23, 56, 0.9997, 0.7623, 0.9999, 5, 6
63, 43, 95, 103, 0.9997, 0.7623, 2.4929, 5, 6
64, 14, 87, 35, 0.9997, 1.0000, 2.1242, 53, 53
64, 27, 111, 122, 0.9997, 1.0000, 1.4251, 26, 27
64, 31, 32, 4, 0.9997, 1.0000, 1.2841, 24, 25
64, 40, 103, 0, 0.9997, 0.8384, 1.2357, 7, 8
64, 42, 25, 55, 0.9997, 0.7998, 1.8762, 6, 7
64, 44, 1, 80, 0.9984, 0.7614, 4.1962, 5, 6
65, 14, 89, 35, 0.9997, 1.0000, 2.0606, 54, 54
65, 27, 112, 122, 0.9997, 1.0000, 1.0793, 27, 28
65, 31, 32, 5, 0.9996, 1.0000, 0.5134, 25, 26
65, 40, 105, 0, 0.9997, 0.8779, 1.7485, 8, 9
65, 42, 26, 55, 0.9997, 0.8384, 1.3079, 7, 8
65, 46, 38, 106, 0.9997, 0.7623, 0.4246, 5, 6
65, 47, 79, 116, 0.9997, 0.7623, 1.9989, 5, 6
66, 14, 90, 36, 0.9997, 1.0000, 1.4674, 55, 55
66, 27, 113, 123, 0.9997, 1.0000, 1.2468, 28, 29
66, 31, 33, 6, 0.9997, 1.0000, 1.2712, 26, 27
66, 34, 67, 107, 0.9997, 0.7879, 1.8819, 21, 19
66, 40, 106, 0, 0.9997, 0.9178, 1.2515, 9, 10
66, 42, 27, 55, 0.9997, 0.8779, 1.0000, 8, 9
66, 46, 37, 105, 0.9997, 0.7998, 1.0346, 6, 7
66, 47, 81, 116, 0.9997, 0.7998, 1.9569, 6, 7
67, 14, 92, 36, 0.9997, 1.0000, 1.7268, 56, 56
67, 27, 114, 124, 0.9997, 1.0000, 1.4136, 29, 30
67, 31, 35, 6, 0.9996, 1.0000, 1.7958, 27, 28
67, 34, 68, 107, 0.9997, 0.8293, 1.2683, 22, 20
67, 40, 108, 0, 0.9997, 0.9581, 1.7508, 10, 11
67, 42, 31, 57, 0.9993, 0.9175, 4.3114, 9, 10
67, 46, 37, 104, 0.9997, 0.8384, 1.0209, 7, 8
67, 47, 84, 116, 0.9997, 0.8384, 2.7476, 7, 8
68, 14, 94, 36, 0.9997, 1.0000, 1.9977, 57, 57
68, 31, 36, 6, 0.9997, 1.0000, 1.3346, 28, 29
68, 40, 110, 0, 0.9997, 0.9986, 2.0140, 11, 12
68, 46, 37, 105, 0.9996, 0.8778, 0.4902, 8, 9
68, 47, 86, 116, 0.9997, 0.8779, 2.2919, 8, 9
69, 14, 97, 36, 0.9997, 1.0000, 2.8059, 58, 58
69, 27, 115, 124, 0.9997, 1.0000, 0.7084, 31, 32
69, 31, 37, 6, 0.9997, 1.0000, 1.0180, 29, 30
69, 40, 111, 0, 0.9997, 1.0000, 1.2778, 12, 13
69, 46, 35, 102, 0.9995, 0.9176, 2.4598, 9, 10
69, 47, 88, 116, 0.9997, 0.9178, 2.0024, 9, 10
70, 27, 116, 125, 0.9997, 1.0000, 1.2254, 32, 33
70, 40, 113, 0, 0.9997, 1.0000, 1.7221, 13, 14
70, 46, 35, 102, 0.9996, 0.9580, 0.9988, 10, 11
70, 47, 91, 116, 0.9997, 0.9580, 2.7223, 10, 11
71, 27, 116, 126, 0.9997, 1.0000, 1.0770, 33, 34
71, 31, 39, 7, 0.9996, 1.0000, 1.6427, 31, 32
71, 37, 10, 9, 0.9997, 0.7664, 0.4015, 18, 18
71, 40, 115, 0, 0.9997, 1.0000, 1.9992, 14, 15
71, 47, 93, 116, 0.9997, 0.9986, 2.2755, 11, 12
72, 27, 118, 127, 0.9996, 1.0000, 1.8261, 34, 35
72, 31, 40, 7, 0.9997, 1.0000, 1.3242, 32, 33
72, 37, 11, 9, 0.9997, 0.8081, 0.7210, 19, 19
72, 40, 117, 0, 0.9997, 1.0000, 2.0402, 15, 16
72, 46, 34, 101, 0.9997, 1.0000, 0.9447, 12, 13
72, 47, 95, 116, 0.9997, 1.0000, 1.9999, 12, 13
73, 31, 41, 8, 0.9997, 1.0000, 1.2950, 33, 34
73, 40, 118, 0, 0.9997, 1.0000, 1.2516, 16, 17
73, 47, 98, 116, 0.9997, 1.0000, 2.7237, 13, 14
74, 31, 42, 8, 0.9997, 1.0000, 1.0061, 34, 35
74, 41, 114, 110, 0.9997, 0.7857, 2.2856, 19, 17
74, 40, 120, 0, 0.9997, 1.0000, 1.7082, 17, 18
74, 47, 100, 116, 0.9997, 1.0000, 2.2764, 14, 15
75, 31, 43, 8, 0.9997, 1.0000, 0.9839, 35, 36
75, 42, 40, 53, 0.9997, 0.7664, 1.7203, 17, 17
75, 47, 103, 116, 0.9997, 1.0000, 2.7639, 15, 16
76, 31, 44, 8, 0.9997, 1.0000, 0.9984, 36, 37
76, 37, 13, 10, 0.9996, 0.9747, 1.6975, 23, 23
76, 42, 41, 52, 0.9997, 0.8081, 1.4794, 18, 18
76, 47, 105, 116, 0.9997, 1.0000, 2.2515, 16, 17
77, 31, 45, 9, 0.9997, 1.0000, 1.2512, 37, 38
77, 37, 14, 10, 0.9997, 1.0000, 1.3798, 24, 24
77, 42, 42, 52, 0.9997, 0.8498, 1.0415, 19, 19
77, 47, 108, 116, 0.9997, 1.0000, 2.7485, 17, 18
78, 31, 46, 9, 0.9997, 1.0000, 1.0428, 38, 39
78, 47, 110, 116, 0.9997, 1.0000, 2.2492, 18, 19
79, 31, 47, 9, 0.9997, 1.0000, 1.0001, 39, 40
79, 37, 15, 10, 0.9997, 1.0000, 0.6809, 26, 26
79, 47, 113, 116, 0.9997, 1.0000, 2.7499, 19, 20
79, 51, 115, 42, 0.9997, 0.7664, 2.1299, 10, 10
80, 31, 48, 9, 0.9997, 1.0000, 1.0008, 40, 41
80, 34, 90, 108, 0.9997, 0.7838, 1.2527, 35, 31
80, 47, 115, 116, 0.9997, 1.0000, 2.2501, 20, 21
80, 49, 113, 110, 0.9997, 0.7664, 2.1399, 12, 12
80, 51, 117, 42, 0.9997, 0.8081, 2.0128, 11, 11
81, 31, 50, 9, 0.9997, 1.0000, 1.7640, 41, 42
81, 34, 92, 108, 0.9997, 0.8248, 1.7084, 36, 32
81, 37, 16, 11, 0.9997, 1.0000, 1.0688, 28, 28
81, 47, 118, 116, 0.9997, 1.0000, 2.7500, 21, 22
81, 49, 115, 110, 0.9997, 0.8081, 2.0576, 13, 13
81, 51, 119, 43, 0.9997, 0.8498, 2.1356, 12, 12
82, 31, 51, 9, 0.9997, 1.0000, 1.2918, 42, 43
82, 34, 94, 108, 0.9997, 0.8657, 1.9977, 37, 33
82, 37, 17, 11, 0.9997, 1.0000, 1.0595, 29, 29
82, 49, 117, 110, 0.9997, 0.8498, 2.0164, 14, 14
82, 51, 121, 43, 0.9997, 0.8914, 2.0157, 13, 13
83, 31, 52, 10, 0.9997, 1.0000, 1.2598, 43, 44
83, 34, 96, 108, 0.9997, 0.9068, 2.0417, 38, 34
83, 51, 124, 44, 0.9997, 0.9331, 2.8641, 14, 14
84, 31, 53, 10, 0.9997, 1.0000, 1.0012, 44, 45
84, 34, 98, 108, 0.9997, 0.9478, 2.0163, 39, 35
84, 37, 18, 11, 0.9997, 1.0000, 0.7235, 31, 31
84, 51, 126, 44, 0.9997, 0.9747, 2.3054, 15, 15
85, 31, 54, 10, 0.9997, 1.0000, 0.9837, 45, 46
85, 34, 100, 108, 0.9997, 0.9889, 2.0001, 40, 36
85, 42, 54, 51, 0.9997, 0.7590, 1.7392, 27, 26
86, 31, 55, 10, 0.9997, 1.0000, 1.0009, 46, 47
86, 34, 101, 109, 0.9997, 1.0000, 1.4510, 41, 37
86, 37, 19, 12, 0.9997, 1.0000, 1.0694, 33, 33
87, 31, 57, 10, 0.9997, 1.0000, 1.7664, 47, 48
87, 34, 104, 109, 0.9996, 1.0000, 2.4884, 42, 38
87, 37, 20, 12, 0.9997, 1.0000, 1.0572, 34, 34
