# Enhanced Poisson Multi-Bernoulli Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
#
# frame, track_id, x, y, existence_prob, confidence, speed, age, detections
#================================================================================
31, 22, 36, 2, 0.9997, 0.8497, 1.9096, 17, 17
31, 25, 35, 91, 0.9997, 0.9331, 1.0150, 14, 14
32, 9, 110, 45, 0.9997, 1.0000, 1.0010, 32, 31
32, 5, 67, 119, 0.9997, 1.0000, 1.0426, 32, 32
32, 18, 34, 29, 0.9997, 1.0000, 1.9992, 21, 21
32, 22, 37, 2, 0.9997, 0.8914, 1.3143, 18, 18
32, 25, 26, 95, 0.8824, 0.8721, 9.0103, 15, 15
32, 30, 18, 116, 0.9997, 0.6831, 0.9531, 10, 10
33, 9, 111, 46, 0.9997, 1.0000, 1.2342, 33, 32
33, 5, 66, 118, 0.9997, 1.0000, 1.2599, 33, 33
33, 18, 36, 28, 0.9997, 1.0000, 2.1785, 22, 22
33, 22, 38, 2, 0.9997, 0.9331, 1.0017, 19, 19
33, 25, 15, 99, 0.9929, 1.0000, 11.5160, 16, 16
33, 30, 20, 116, 0.9997, 0.7248, 1.7427, 11, 11
33, 34, 53, 42, 0.7073, 0.4536, 9.5095, 8, 8
33, 37, 86, 104, 0.9981, 0.6947, 1.0064, 3, 4
34, 9, 112, 46, 0.9997, 1.0000, 1.0379, 34, 33
34, 5, 65, 118, 0.9997, 1.0000, 1.0307, 34, 34
34, 18, 37, 28, 0.9997, 1.0000, 1.2856, 23, 23
34, 22, 39, 1, 0.9997, 0.9747, 1.1993, 20, 20
34, 26, 15, 115, 0.9996, 0.6831, 2.4967, 15, 15
34, 30, 21, 116, 0.9997, 0.7664, 1.2908, 12, 12
34, 38, 112, 27, 0.9980, 0.6946, 1.0797, 3, 4
34, 39, 39, 92, 0.8540, 0.5911, 15.6150, 2, 3
35, 9, 113, 47, 0.9997, 1.0000, 1.2588, 35, 34
35, 5, 64, 118, 0.9997, 1.0000, 1.0001, 35, 35
35, 18, 39, 28, 0.9997, 1.0000, 1.7083, 24, 24
35, 22, 40, 1, 0.9997, 1.0000, 1.0223, 21, 21
35, 26, 16, 115, 0.9997, 0.7248, 1.5920, 16, 16
35, 30, 23, 116, 0.9997, 0.8081, 1.7666, 13, 13
35, 38, 114, 19, 0.9828, 0.7163, 6.8871, 4, 5
36, 9, 114, 47, 0.9997, 1.0000, 1.0311, 36, 35
36, 5, 63, 118, 0.9997, 1.0000, 1.0009, 36, 36
36, 18, 41, 28, 0.9997, 1.0000, 1.9982, 25, 25
36, 22, 42, 1, 0.9997, 1.0000, 1.7638, 22, 22
36, 26, 19, 115, 0.9997, 0.7664, 2.5320, 17, 17
36, 28, 119, 122, 0.9784, 0.6600, 6.7629, 16, 15
36, 30, 24, 115, 0.9997, 0.8497, 1.4654, 14, 14
37, 9, 116, 47, 0.9997, 1.0000, 1.7640, 37, 36
37, 5, 62, 117, 0.9997, 1.0000, 1.2500, 37, 37
37, 18, 42, 28, 0.9997, 1.0000, 1.2779, 26, 26
37, 22, 43, 1, 0.9997, 1.0000, 1.2947, 23, 23
37, 26, 20, 115, 0.9997, 0.8081, 1.5028, 18, 18
37, 30, 25, 115, 0.9997, 0.8914, 1.0263, 15, 15
37, 37, 98, 104, 0.8688, 0.5344, 9.6802, 7, 7
38, 9, 117, 48, 0.9997, 1.0000, 1.4795, 38, 37
38, 18, 44, 27, 0.9997, 1.0000, 1.8861, 27, 27
38, 22, 44, 0, 0.9997, 1.0000, 1.2498, 24, 24
38, 26, 22, 115, 0.9997, 0.8498, 1.7325, 19, 19
38, 30, 27, 115, 0.9997, 0.9331, 1.7212, 16, 16
38, 37, 114, 102, 0.9687, 0.6247, 14.9971, 8, 8
38, 40, 61, 52, 0.9996, 0.7268, 1.4743, 4, 5
39, 9, 118, 48, 0.9997, 1.0000, 1.0379, 39, 38
39, 18, 46, 27, 0.9997, 1.0000, 2.0216, 28, 28
39, 26, 24, 115, 0.9997, 0.8914, 1.9704, 20, 20
39, 30, 28, 115, 0.9997, 0.9747, 1.2786, 17, 17
40, 9, 119, 48, 0.9997, 1.0000, 0.9574, 40, 39
40, 18, 47, 27, 0.9997, 1.0000, 1.2763, 29, 29
40, 22, 54, 4, 0.8839, 0.9839, 9.8637, 26, 26
40, 26, 26, 115, 0.9997, 0.9331, 2.0277, 21, 21
