# Advanced Satellite Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
# Output: D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\parallel_run5_first_video_all_trackers\particle_assisted\output_video.mp4
#
# frame, track_id, x, y, confidence, speed, vx, vy, quality, intensity
#================================================================================
21, 83, 47, 33, 0.6000, 10.9324, 9.9586, -4.5102, 0.1800, 204.67
21, 86, 16, 31, 0.8722, 1.7463, 1.7463, -0.0014, 0.6106, 251.57
21, 74, 47, 156, 0.5111, 26.5654, 9.4172, 24.8402, 0.2556, 195.00
21, 81, 63, 139, 0.5000, 71.2161, 28.5745, 65.2322, 0.1500, 208.67
22, 40, 83, 96, 0.6556, 24.7614, -19.6285, 15.0946, 0.2622, 126.25
22, 73, 113, 121, 0.6556, 6.3612, 6.3537, -0.3075, 0.2622, 104.25
22, 83, 50, 32, 0.6556, 4.0630, 3.8160, -1.3950, 0.2622, 203.50
22, 86, 17, 31, 0.9278, 1.2559, 1.2552, 0.0418, 0.7422, 251.62
22, 91, 38, 68, 0.6000, 46.0578, 18.8686, 42.0154, 0.1800, 205.67
22, 94, 25, 86, 0.6000, 1.3717, 0.9456, 0.9937, 0.1800, 196.00
22, 96, 78, 121, 0.6000, 0.9867, -0.9822, -0.0939, 0.1800, 138.56
22, 32, 45, 95, 0.5000, 16.3272, 7.6921, 14.4017, 0.1500, 183.67
23, 32, 41, 83, 0.6556, 1.2106, 1.1822, -0.2608, 0.2622, 184.50
23, 40, 75, 120, 0.7111, 24.2380, -9.4696, 22.3116, 0.3556, 132.80
23, 73, 114, 122, 0.7111, 1.3244, 1.2686, 0.3806, 0.3556, 105.40
23, 86, 19, 31, 0.9833, 1.7431, 1.7430, 0.0167, 0.8850, 251.00
23, 91, 61, 106, 0.6556, 44.4627, 22.5991, 38.2912, 0.2622, 187.50
23, 94, 26, 87, 0.7056, 1.4333, 1.0191, 1.0079, 0.2822, 192.75
23, 95, 119, 109, 0.6000, 12.9165, 11.7626, -5.3363, 0.1800, 89.67
23, 96, 106, 117, 0.6556, 24.1903, 23.8956, -3.7643, 0.2622, 125.42
23, 83, 54, 31, 0.5556, 4.0630, 3.8160, -1.3950, 0.2222, 203.50
24, 32, 61, 87, 0.7111, 18.3827, 17.9684, 3.8809, 0.3556, 179.80
24, 40, 64, 128, 0.7667, 14.7254, -10.6880, 10.1293, 0.4600, 132.83
24, 43, 5, 38, 0.6000, 68.9081, -41.4927, -55.0153, 0.1800, 183.00
24, 47, 121, 53, 0.6000, 43.7037, 4.8273, -43.4362, 0.1800, 121.67
24, 57, 6, 54, 0.6000, 65.8818, 5.7848, -65.6273, 0.1800, 159.00
24, 73, 111, 117, 0.7667, 5.1783, -2.7356, -4.3967, 0.4600, 102.67
24, 76, 16, 101, 0.6000, 53.1687, -48.1062, -22.6431, 0.1800, 137.67
24, 86, 21, 30, 1.0000, 2.1419, 2.0074, -0.7470, 1.0000, 251.10
24, 91, 85, 126, 0.7111, 32.3357, 23.3988, 22.3180, 0.3556, 172.80
24, 94, 27, 88, 0.7611, 1.4270, 1.0143, 1.0037, 0.3806, 194.20
24, 95, 131, 104, 0.5000, 12.9165, 11.7626, -5.3363, 0.1500, 89.67
24, 96, 130, 113, 0.5556, 24.1903, 23.8956, -3.7643, 0.2222, 125.42
25, 57, 27, 2, 0.6556, 57.2484, 18.9227, -54.0307, 0.2622, 178.50
25, 73, 111, 115, 0.8222, 1.7346, 0.3348, -1.7020, 0.5756, 100.86
25, 79, 115, 121, 0.6000, 44.5946, -4.7329, 44.3427, 0.1800, 92.67
25, 86, 22, 30, 1.0000, 1.3336, 1.2980, -0.3058, 1.0000, 251.45
25, 89, 36, 62, 0.6000, 56.7012, 9.1935, 55.9509, 0.1800, 215.00
25, 94, 28, 88, 0.8167, 1.0301, 1.0027, 0.2360, 0.4900, 199.33
25, 40, 54, 138, 0.6667, 14.7254, -10.6880, 10.1293, 0.4000, 132.83
25, 43, -36, -17, 0.5000, 68.9081, -41.4927, -55.0153, 0.1500, 183.00
25, 47, 126, 10, 0.5000, 43.7037, 4.8273, -43.4362, 0.1500, 121.67
25, 76, -32, 79, 0.5000, 53.1687, -48.1062, -22.6431, 0.1500, 137.67
25, 91, 108, 148, 0.6111, 32.3357, 23.3988, 22.3180, 0.3056, 172.80
26, 47, 119, 19, 0.6556, 14.2405, -1.3546, -14.1759, 0.2622, 125.25
26, 69, 30, 5, 0.6000, 35.6162, -22.1355, -27.9021, 0.1800, 218.00
